brand,name,image,price
Red Tape,Women Perforated Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22912432/2023/4/26/8375f442-c70b-4eca-b349-55e1618fbcd01682514160332RedTapeWomenPurpleWovenDesignSneakers1.jpg",Rs. 5499
HRX by Hrithik Roshan,Women Lace-Up Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23976346/2023/7/11/0c4abc5b-6921-4234-a618-352c133bec6d1689091614542HRXbyHrithikRoshanWomenOffWhiteMeshRunningNon-MarkingShoes1.jpg",Rs. 3799
Puma,Unisex Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16530962/2021/12/24/9f9b34b2-cba5-415a-9718-c224263649f11640350292538-Puma-Unisex-Casual-Shoes-1941640350292216-1.jpg",Rs. 3999
Puma,Wired Rapid Textured Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18814816/2022/11/6/1104f25e-29c1-42bf-a9c7-0dae89a8e5a71667717398456PumaUnisexBlackWiredRapidTexturedSneakers1.jpg",Rs. 5499
Puma,Kenton Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22805288/2023/4/18/ceae2a2a-3689-4657-9106-0614bd2b1e101681796580455PUMAKentonMensShoes1.jpg",Rs. 4499
Paaduks,Unisex Anti-Skid Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24925834/2023/9/12/67dcc8df-f596-426b-803d-90837586a6211694516633640PaaduksMenBlackWovenDesignSneakers1.jpg",Rs. 4230
Red Tape,Women Pink & Navy Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19642372/2022/8/24/83440dba-f907-4272-8cea-c856afc9b1011661352331716RedTapeWomenPinkHigh-TopWalkingNon-MarkingShoes1.jpg",Rs. 5099
Red Tape,Women Textured Basics Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24781730/2023/9/2/6d8d5c3a-197f-45e0-a640-7cdc79ff864b1693656714286RedTapeWomenBeigePUSneakers1.jpg",Rs. 5399
Puma,Unisex Rickie Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19150436/2022/7/19/c2242aa4-b74a-4a0f-80f2-8a48dc8ef61d1658204973176PumaWhiteSolidCasualSneakers1.jpg",Rs. 5499
PUMA Motorsport,Scuderia Ferrari IONSpeed 2,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21497010/2023/3/1/c769afee-2dc0-4e5f-91e7-842830a9dbd91677653919795-Scuderia-Ferrari-IONSpeed-2-Mens-Sneakers-81677653919500-1.jpg",Rs. 9999
Puma,Unisex Anzarun 2.0 Sustainable Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21497706/2023/2/28/b0f33773-e53e-42be-b14a-d343016651861677580039970Anzarun20UnisexSneakers1.jpg",Rs. 6999
Puma,Softride Enzo Evo Sports Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18806760/2022/11/6/75976411-155c-415c-bf9f-55ff5ecc9e101667717586019PumaBlackSoftrideEnzoEvoSportsShoes1.jpg",Rs. 6999
NEEMANS,Lightweight Slip-On Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22059900/2023/2/21/efb79b52-5a9b-44c7-9890-3cf5949c063e1676987610155NEEMANSUnisexBlackPrintedSlip-OnSneakers1.jpg",Rs. 3299
Roadster,Women Mesh Basics Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23077178/2023/5/9/84e219e9-325d-4f3a-b7b9-1ffad2fe33ef1683606052873CasualShoes1.jpg",Rs. 3995
Puma,Unisex R Profoam Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21496336/2023/2/6/515477ab-5082-4570-ba87-fb7ca5296c6f1675686061364-Puma-Unisex-Redeem-Profoam-Running-Shoes-6381675686060984-1.jpg",Rs. 7999
Red Tape,Women Perforated Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23004434/2023/5/4/aa68518a-ff96-4fb6-9825-110503e2d2d81683186414603RedTapeWomenBluePerforationsPUSneakers1.jpg",Rs. 5599
Campus,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16521404/2021/12/15/ef71a18b-ee7e-4f5e-b7f3-4851cdf867541639556208287CampusWomenBlack1.jpg",Rs. 799
BIRDE,Women Lightweight Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25087754/2023/9/23/95fc0f78-9e7d-4d40-973f-f74360c906371695439326584BIRDEWomenPinkWovenDesignSneakers1.jpg",Rs. 999
Red Tape,Women Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23274980/2023/5/19/03ffbd3b-3692-4f32-8d28-eced7bab12691684495330084SportsShoes1.jpg",Rs. 5499
Red Tape,Women Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21212624/2022/12/16/2a48ebd1-db4a-47b5-a368-5cde74a0d12c1671172705947RedTapeWomenPinkMeshWalkingNon-MarkingShoes1.jpg",Rs. 6099
NEEMANS,Lightweight Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23156056/2023/5/12/31ce5283-a012-4119-b443-fcfb0c8f03531683906145540NEEMANSUnisexBlackColourblockedSneakers1.jpg",Rs. 3699
Paaduks,Unisex Anti-Skid Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24925836/2023/9/12/57815c5b-b93e-429a-b690-efb4b30b74e21694514947670PaaduksMenBrownWovenDesignBoatShoes1.jpg",Rs. 4230
Red Tape,Women Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20060602/2022/9/17/33abdbc9-24cb-4047-95dc-d93a1ea6bff41663435474090RedTapeWomenBlackMeshWalkingNon-MarkingShoes1.jpg",Rs. 4199
HRX by Hrithik Roshan,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24031400/2023/7/14/3ab1269b-95a2-4934-b9cc-b1d0abb444ff1689358103795SportsShoes1.jpg",Rs. 2999
HRX by Hrithik Roshan,Women Lightweight Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22949760/2023/4/29/cc4f2c80-d0ca-43cf-969b-c38763fe66531682743828892HRXbyHrithikRoshanWomenWhitePerforationsSneakers1.jpg",Rs. 2999
AfroJack,Women Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18458460/2022/5/28/c28d223f-6a82-46be-8922-6a21172bd2841653714541319AfroJackWomenWhiteSneakers1.jpg",Rs. 4245
Puma,T3 Football Non-Marking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24093556/2023/9/1/a92737b2-8237-4ea5-b47a-d49b362075051693568766340-TRUCO-IIl-Unisex--Football-Shoes-5871693568766069-1.jpg",Rs. 4499
Red Tape,Women Mesh Basics Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22912430/2023/4/27/18087d7b-969b-42f3-bf8c-437f12e3d42d1682569353834RedTapeWomenPinkWovenDesignSneakers1.jpg",Rs. 5499
Red Tape,Women Perforated Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23004432/2023/5/4/f4ebf825-ef91-4c0c-820e-fe42a22386d51683185763633RedTapeWomenWhitePerforationsPUSneakers1.jpg",Rs. 5599
Puma,Unisex Urus Printed Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19104402/2022/7/25/6d1e4d4f-92ce-4b74-a332-f77f0eb0b5601658751477883-Puma-Urus-Unisex-Sneakers-61658751477521-1.jpg",Rs. 3999
HRX by Hrithik Roshan,Women Memory Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23773926/2023/6/27/a73baf58-636f-4754-b3e2-df786c5573b71687857846648HRXbyHrithikRoshanWomenBlackMeshRunningNon-MarkingShoes1.jpg",Rs. 4299
UNDER ARMOUR,Unisex Project Rock Recruit,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14649166/2021/7/7/335e99b3-5217-4e3a-b379-1008c30c41831625651610551-UA-Project-Rock-Recruit-7761625651610131-1.jpg",Rs. 9999
